client_id,dormant_count,total_monthly_waste,segment
0,38,1964.1320053457334,High (over $150)
1,19,1401.5266832611833,High (over $150)
2,23,826.2629282939283,High (over $150)
3,11,501.28418635408707,High (over $150)
4,17,868.6969205746739,High (over $150)
5,9,507.5011626984127,High (over $150)
11,18,923.972201920865,High (over $150)
13,19,837.9805337301588,High (over $150)
14,18,1148.9831762820513,High (over $150)
16,26,1694.3818915945167,High (over $150)
17,27,1166.2237592338658,High (over $150)
19,9,163.27465277777776,High (over $150)
20,19,839.5351378815628,High (over $150)
21,15,500.0262053998633,High (over $150)
22,6,216.47742857142856,High (over $150)
24,20,943.6823888888889,High (over $150)
27,27,1060.4798850250627,High (over $150)
28,18,1083.0640156926406,High (over $150)
32,20,956.9893914141414,High (over $150)
33,19,1050.7676707362082,High (over $150)
34,22,1633.106056301069,High (over $150)
37,21,1185.701873015873,High (over $150)
38,12,883.0490293040293,High (over $150)
39,22,1493.1657585026085,High (over $150)
40,7,180.70914862914864,High (over $150)
42,14,563.1562717909542,High (over $150)
44,12,662.3645662393162,High (over $150)
45,11,288.44996428571426,High (over $150)
46,24,1603.3709345238094,High (over $150)
47,16,395.84485008047506,High (over $150)
48,14,559.0421480892402,High (over $150)
50,21,916.1057805435305,High (over $150)
51,17,1083.1391053815466,High (over $150)
52,24,1812.6123147902922,High (over $150)
53,12,877.34525,High (over $150)
55,17,585.271209090909,High (over $150)
57,25,1429.210441963867,High (over $150)
58,14,702.7462360435402,High (over $150)
59,18,855.1279751082252,High (over $150)
60,19,1474.3628094165592,High (over $150)
61,27,2410.8891850269615,High (over $150)
62,25,942.747353686636,High (over $150)
63,21,1156.5506155464545,High (over $150)
64,23,1257.6311934340943,High (over $150)
65,19,798.5973306727994,High (over $150)
68,17,1339.278756105006,High (over $150)
69,17,569.0610031512605,High (over $150)
73,22,1847.7679148098632,High (over $150)
74,7,355.8249603174603,High (over $150)
75,23,1056.9251445221446,High (over $150)
77,29,1779.3964213746779,High (over $150)
78,16,412.8173163921554,High (over $150)
79,18,1129.6693541666666,High (over $150)
80,20,740.4983388486513,High (over $150)
81,24,1227.8985668553669,High (over $150)
84,24,892.1693502600341,High (over $150)
86,11,502.8485476190476,High (over $150)
87,16,566.8197797703613,High (over $150)
89,19,1037.0424860500611,High (over $150)
90,18,1049.8365877192982,High (over $150)
92,26,1079.0633680502503,High (over $150)
94,14,812.8009904463353,High (over $150)
96,24,1911.6554160379096,High (over $150)
98,25,1008.1575586142826,High (over $150)
100,20,1115.7708125,High (over $150)
103,22,889.7568075396825,High (over $150)
104,17,1146.9600805500622,High (over $150)
106,20,914.734285074562,High (over $150)
107,19,1011.992456987457,High (over $150)
110,25,1759.7742835497836,High (over $150)
112,22,1412.7588303076852,High (over $150)
113,18,1264.5669084249084,High (over $150)
