client_id,merchant_id,months_active,avg_monthly_charge,last_transaction,days_since,dormant
0,9932,5,71.56833333333334,2018-11-03 13:59:00,362,True
0,11809,3,151.30666666666664,2016-10-27 18:01:00,1099,True
0,13153,11,8.714516129032257,2019-07-11 19:43:00,112,True
0,14528,3,1.5033333333333332,2019-08-06 14:42:00,86,True
0,16798,6,26.949999999999996,2019-06-07 14:08:00,146,True
0,18563,9,26.587,2019-04-09 14:15:00,205,True
0,20519,6,36.84142857142857,2017-06-27 12:30:00,856,True
0,20561,7,48.88,2019-10-25 14:09:00,6,False
0,24206,7,22.484999999999996,2016-07-26 14:26:00,1192,True
0,24823,6,87.92666666666668,2019-10-14 11:48:00,17,False
0,25887,3,6.830000000000001,2018-05-29 19:36:00,520,True
0,26593,8,57.327,2019-06-13 13:28:00,140,True
0,26909,3,51.6525,2015-12-01 13:05:00,1430,True
0,27092,7,137.5,2019-01-04 19:25:00,300,True
0,28395,10,71.04357142857143,2018-12-31 12:33:00,304,True
0,29219,4,108.1625,2019-09-17 15:39:00,44,False
0,30286,3,72.2925,2018-03-07 21:57:00,603,True
0,32164,11,55.89771739130435,2019-08-31 22:46:00,61,True
0,32175,3,100.23333333333335,2018-09-18 11:42:00,408,True
0,32635,5,58.86,2017-02-24 15:45:00,979,True
0,32858,4,40.70125,2019-08-17 13:00:00,75,True
0,34490,5,45.794,2017-11-04 13:18:00,726,True
0,41527,4,49.3825,2017-08-19 16:48:00,803,True
0,43293,8,67.43333333333334,2019-06-04 12:49:00,149,True
0,43925,7,40.854375,2018-09-01 14:45:00,425,True
0,48919,4,78.12800000000001,2013-09-24 15:57:00,2228,True
0,50783,9,44.751666666666665,2019-08-10 07:29:00,82,True
0,55060,11,7.816249999999999,2019-08-27 19:39:00,65,True
0,57053,3,76.17999999999999,2015-09-10 11:00:00,1512,True
0,59935,5,77.124,2014-12-26 12:59:00,1770,True
0,60510,5,36.0375,2019-07-07 13:06:00,116,True
0,60569,6,57.76777777777777,2019-03-14 13:23:00,231,True
0,61195,4,62.760000000000005,2018-06-19 12:42:00,499,True
0,69956,6,42.87428571428571,2018-12-25 13:20:00,310,True
0,75936,3,9.241666666666667,2016-12-07 06:36:00,1058,True
0,83271,4,25.3525,2018-09-27 11:20:00,399,True
0,83480,3,22.2925,2019-05-11 11:18:00,173,True
0,84682,5,119.79,2012-05-15 16:19:00,2725,True
0,88459,4,39.765,2017-04-24 13:23:00,920,True
0,90865,5,54.45166666666666,2018-10-11 13:01:00,385,True
0,98648,9,8.040833333333333,2019-07-13 19:48:00,110,True
1,11891,4,138.98000000000002,2018-09-16 12:15:00,410,True
1,13913,3,114.66000000000001,2019-08-17 11:27:00,75,True
1,16798,12,13.66546511627907,2019-10-31 11:57:00,0,False
1,17708,12,14.834614427860696,2019-10-07 10:36:00,24,False
1,18563,12,15.533038194444444,2019-10-11 16:01:00,20,False
1,25887,5,45.19,2019-07-13 11:29:00,110,True
1,27092,10,47.142857142857146,2019-07-20 12:14:00,103,True
1,32175,3,53.9,2018-06-04 13:26:00,514,True
1,46931,5,79.024,2016-09-30 09:41:00,1126,True
1,59935,4,55.763999999999996,2016-11-20 14:17:00,1075,True
1,60569,8,63.00181818181818,2016-10-03 17:56:00,1123,True
1,61195,6,48.305,2017-01-18 09:55:00,1016,True
1,69956,3,33.88166666666667,2015-07-09 18:22:00,1575,True
1,72812,7,6.932222222222222,2018-03-23 12:19:00,587,True
1,73186,3,132.51,2019-05-11 10:23:00,173,True
1,73423,4,46.7825,2018-09-17 09:51:00,409,True
1,75781,5,41.7725,2019-09-11 11:28:00,50,False
1,78454,5,51.244285714285716,2019-07-17 21:03:00,106,True
1,87530,3,144.68333333333334,2019-01-15 11:16:00,289,True
1,89069,3,35.79333333333333,2015-05-26 17:15:00,1619,True
1,90326,3,61.13666666666666,2019-04-26 10:22:00,188,True
1,93403,4,163.45999999999998,2019-08-22 18:37:00,70,True
1,99850,8,79.135,2019-08-12 10:29:00,80,True
2,9932,6,20.94142857142857,2019-07-26 06:44:00,97,True
2,11468,5,29.43,2019-03-06 21:47:00,239,True
2,13154,4,83.69800000000001,2017-10-14 11:15:00,747,True
2,19964,9,27.813076923076924,2019-08-21 06:30:00,71,True
2,20561,9,22.295,2019-09-22 21:41:00,39,False
2,26909,6,28.391428571428573,2018-09-06 21:19:00,420,True
2,27092,5,63.333333333333336,2018-07-17 16:11:00,471,True
2,32175,3,26.005000000000003,2019-08-29 19:12:00,63,True
2,32858,4,30.536,2018-03-25 21:49:00,585,True
2,39261,3,5.136666666666667,2018-12-12 14:32:00,323,True
2,41515,7,37.2975,2019-07-09 11:02:00,114,True
2,46746,8,28.061111111111114,2018-07-24 22:08:00,464,True
2,59935,8,35.09090909090909,2019-08-19 17:33:00,73,True
2,60569,10,31.887333333333334,2019-01-20 21:52:00,284,True
2,61195,10,57.20708333333333,2019-01-07 17:16:00,297,True
2,61806,7,30.764545454545456,2019-02-10 21:45:00,263,True
2,65638,5,26.153333333333336,2019-09-16 19:36:00,45,False
2,67570,5,24.426,2019-05-26 06:36:00,158,True
2,73186,4,76.55333333333333,2017-12-03 16:01:00,697,True
2,75781,9,28.84921052631579,2019-10-06 11:58:00,25,False
2,75818,5,26.65285714285714,2018-11-22 21:41:00,343,True
2,83271,12,10.142567567567568,2019-10-21 14:56:00,10,False
2,83480,12,11.008288288288288,2019-10-18 15:04:00,13,False
2,85247,3,5.04,2018-12-17 14:42:00,318,True
2,86616,3,72.195,2019-07-12 08:44:00,111,True
2,94123,3,19.153750000000002,2018-08-29 21:47:00,428,True
2,95855,5,29.429999999999996,2018-12-19 19:52:00,316,True
2,96225,7,29.812,2019-10-25 15:47:00,6,False
2,97448,5,37.21857142857142,2016-12-05 21:47:00,1060,True
3,18131,5,71.78166666666667,2019-03-24 09:36:00,221,True
3,19964,8,53.248823529411766,2018-09-25 21:44:00,401,True
3,22041,5,42.88833333333334,2018-10-15 08:03:00,381,True
3,32175,6,34.38857142857143,2019-10-02 06:07:00,29,False
3,45020,3,12.785,2014-03-07 12:37:00,2064,True
3,46474,5,35.900999999999996,2019-04-20 06:21:00,194,True
3,47399,4,26.4625,2016-10-28 01:50:00,1098,True
3,50783,10,46.7805,2019-10-31 14:30:00,0,False
3,60569,6,57.74181818181818,2018-12-14 14:47:00,321,True
3,61195,10,55.20925,2019-10-06 14:45:00,25,False
3,65267,8,47.745294117647056,2019-10-13 14:39:00,18,False
3,78680,11,46.67,2018-09-29 14:50:00,397,True
3,81833,8,42.5471875,2019-02-23 14:57:00,250,True
3,91290,10,49.89785714285714,2018-08-14 14:45:00,443,True
3,95534,4,61.36,2016-11-16 01:39:00,1079,True
4,19756,3,37.38333333333333,2018-07-04 17:33:00,484,True
4,20519,12,19.8885,2018-09-15 09:52:00,411,True
4,20561,10,27.907142857142855,2019-09-21 10:06:00,40,False
4,23577,4,55.325,2014-01-24 16:23:00,2106,True
4,24504,3,3.2099999999999995,2015-10-06 13:26:00,1486,True
4,24823,3,72.01666666666667,2017-01-03 06:49:00,1031,True
4,25887,12,36.796952380952376,2019-09-18 08:54:00,43,False
4,26810,3,8.3625,2019-04-24 08:41:00,190,True
4,27092,3,116.66666666666667,2019-08-15 01:18:00,77,True
4,30928,12,41.447407407407404,2019-10-23 08:50:00,8,False
4,32175,4,84.4425,2017-09-01 07:41:00,790,True
4,40408,12,37.69263157894736,2019-05-16 21:06:00,168,True
4,43293,11,26.757115384615386,2019-10-10 08:54:00,21,False
4,48919,3,26.850000000000005,2018-08-14 10:40:00,443,True
4,60569,4,21.651999999999997,2019-02-13 08:24:00,260,True
4,70212,8,137.4466666666667,2018-05-05 21:00:00,544,True
4,73011,4,1.4325,2019-09-23 07:37:00,38,False
4,73186,4,90.65,2017-04-16 12:22:00,928,True
4,75781,12,19.496,2019-10-09 09:11:00,22,False
4,79072,12,13.094691358024692,2019-09-13 10:23:00,48,False
4,83530,9,24.019615384615385,2017-02-24 10:47:00,979,True
4,86616,7,61.66375,2019-08-03 12:00:00,89,True
4,88646,12,32.81337837837838,2019-09-27 21:04:00,34,False
4,92156,12,29.54309027777778,2019-05-12 20:05:00,172,True
4,97028,3,41.884,2019-04-14 07:39:00,200,True
5,24823,4,13.485,2018-03-22 13:23:00,588,True
5,27092,9,38.46153846153846,2019-09-04 13:45:00,57,False
5,28395,6,36.57285714285714,2019-07-13 16:47:00,110,True
5,41485,11,145.2896875,2019-09-17 03:31:00,44,False
5,43293,5,51.281499999999994,2017-09-02 11:46:00,789,True
5,63435,3,87.95333333333333,2014-10-22 10:08:00,1835,True
5,69357,3,165.72333333333333,2019-06-22 10:18:00,131,True
5,73186,5,116.92333333333333,2018-03-12 11:17:00,598,True
